Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Iran,418,524,435,282,121,57,423,331,62,97,99,100,46,13,13,13,413,4,4,3,3458
Iraq,,,,,71,186,312,275,378,398,434,574,476,353,665,1464,1789,989,543,175,9084
Ireland,0,45,22,,19,5,13,19,22,0,5,2,2,,40,43,43,2,7,36,323
Israel,353,116,349,189,845,1133,1122,832,676,153,67,85,120,209,541,681,605,536,543,507,9664
Italy,241,221,239,564,451,162,423,515,214,101,103,286,207,81,139,251,759,734,317,186,6194
Jamaica,,,,,,10,10,13,2,,1,,,1,,2,22,,13,3,75
Japan,494,442,446,483,403,398,480,517,692,621,403,304,223,277,293,329,330,453,572,891,9050
Jordan,133,160,132,281,168,49,53,181,161,234,89,215,176,75,196,233,233,390,215,85,3459
Kazakhstan,121,139,20,,47,42,44,82,25,39,58,62,94,141,95,444,248,214,304,312,2533
Kenya,12,,,,,,,10,,34,116,14,62,1,17,30,29,16,5,32,377
Kosovo,,,,,,,,,,,,,,,1,,,,,,1
Kuwait,245,67,23,45,2,12,5,288,5,9,85,113,31,73,692,339,162,111,95,70,2472
Kyrgyzstan,,,,9,5,3,2,,,,,,,,,4,9,13,1,15,61
Laos,7,,,0,,4,,,7,26,,14,19,19,,7,,3,109,18,232
Latvia,3,13,3,25,12,4,9,51,44,11,15,27,9,5,5,1,24,29,19,25,334
Lebanon,4,,,,,1,,5,1,52,64,1,31,24,6,48,28,50,52,67,435
Lesotho,,6,,,1,,1,,,,,,,,,,,1,1,1,11
Liberia,8,,,,,,,,,,,,,,,,,,,,8
Libya,,,,,,1,16,16,16,22,37,8,73,109,,,,,,,297
Libya GNC,,,,,,,,,,,,,,,,,2,,,18,20
Libya HoR,,,,,,,,,,,,,,,17,38,13,6,11,4,88
Lithuania,6,16,12,1,47,9,52,4,27,27,8,1,1,73,3,13,28,45,6,39,418
LRA (Uganda)*,,,0,,,,,,,,,,,,,,,,,,0
LTTE (Sri Lanka)*,1,,1,,,0,,,,,,,,,,,,,,,2
Luxembourg,,,,1,,,,,,7,7,,1,,,,0,0,,,16
Macedonia,14,112,,,,,0,,,,,,,1,,,0,,,,128
Madagascar,,,,,,,,,,0,,,,0,,,,,1,4,5
Malawi,,,,,,,,,3,,,,1,2,2,2,1,,,,10
Malaysia,26,26,153,147,65,59,408,526,508,1512,423,5,47,71,71,104,266,191,98,70,4776
Maldives,,,,,,,15,,,,5,,,5,,,,,,,24
Mali,7,,1,4,,13,,8,3,10,,0,9,6,1,,21,31,25,3,143
Malta,0,0,,,,18,,,,,,8,8,,12,,6,8,,,58
Mauritania,31,,27,7,,,,,,,9,5,11,,7,1,35,,1,34,168
Mauritius,,,,,6,,,,,,,,,,28,,26,19,,,78
Mexico,227,152,97,31,320,33,75,,22,59,112,229,260,52,87,320,314,210,16,3,2618
Mongolia,,,,,,,,,14,,27,3,79,,,74,,,,17,212
Montenegro,,,,,,,,,,,,,,,,1,0,,15,,16
Morocco,125,11,156,12,14,101,47,27,46,39,306,1403,896,76,560,47,287,485,387,26,5049
Mozambique,0,,,1,,,,,,,,0,0,9,15,0,2,,,22,50
Myanmar,16,149,157,95,194,160,175,151,77,59,56,667,398,251,100,248,237,101,168,252,3711
Namibia,,21,11,,16,,72,6,66,15,3,1,57,9,2,,3,35,,,317
NATO**,,18,,,,,116,,,420,,,22,,,,12,25,21,70,704
Nepal,,11,9,9,34,6,,,1,,,3,,,5,14,8,1,7,17,123
Netherlands,123,164,244,125,127,98,317,237,154,293,190,134,363,331,11,64,79,35,142,490,3721
New Zealand,,45,17,108,49,10,5,81,2,56,58,28,30,26,84,90,,,6,13,707
Nicaragua,,,,,,,,14,,14,,,,,13,15,86,7,,13,162
Niger,,,,5,,,,,8,1,0,0,,13,4,9,,3,,3,47
Nigeria,36,9,6,62,11,,15,60,33,65,188,62,30,30,218,186,50,41,49,30,1180
NLA (Macedonia)*,,0,,,,,,,,,,,,,,,,,,,0
Northern Alliance (Afghanistan)*,19,207,,,,,,,,,,,,,,,,,,,226
North Korea,18,28,9,8,8,5,15,5,5,4,1,,,,,,,,,,103
Norway,229,99,90,9,6,14,555,593,615,583,159,606,143,51,16,143,140,352,549,443,5394
NTC (Libya)*,,,,,,,,,,,,1,,,,,,,,,1
Oman,118,33,40,36,41,170,298,12,72,93,30,21,120,490,715,127,423,777,277,105,3996
OSCE**,,,,,,,,,,,,,,,1,1,,,,,1
Pakistan,186,423,563,650,477,443,360,692,1071,1186,2199,1133,1018,1100,834,786,840,851,792,561,16165
Palestine,,,,,,,,2,,14,6,,,,,,,,,2,23
Panama,,,1,,,,,,,7,,,15,30,,,3,15,11,,80
Papua New Guinea,,,,,,,,,,,,,,,3,,,4,7,,14
Paraguay,,6,,,4,1,,,,,3,8,7,0,,,,,,2,31
Peru,24,4,16,22,47,368,193,172,,43,46,63,10,22,152,212,222,64,92,,1772
Philippines,,10,5,10,34,12,23,16,10,1,3,63,16,78,12,153,230,278,18,187,1161
PIJ (Israel/Palestine)*,,,,,,,,,,,,,0,,,,,,,,0
PKK (Turkey)*,,,,,,,,,,,,,,,,0,,,,,0
Poland,148,33,256,350,226,115,465,992,597,171,159,88,232,154,254,133,45,153,122,308,5000
Portugal,2,19,,29,70,158,220,60,144,370,894,170,40,13,3,1,21,12,26,44,2295
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,0,,,,,,0
Qatar,14,11,11,11,,,,27,,286,30,198,319,73,55,520,903,667,596,2258,5978
Romania,21,24,21,17,285,437,61,98,76,56,107,80,21,20,0,22,177,83,36,61,1702
Russia,,,,,,,4,100,,8,25,10,121,183,218,85,145,93,26,,1017
Rwanda,14,,,,,,3,20,8,11,,,5,15,14,27,,8,3,,126
Samoa,,,,,,,,,,,,,,,,,,,,7,7
Saudi Arabia,85,61,567,167,1170,167,206,230,391,824,1083,1222,1033,1614,2741,3380,2947,3934,3760,3673,29253
Senegal,,,,,,15,9,18,6,4,4,20,,5,7,16,40,47,12,31,234
Serbia,1,27,,,,,,,,,16,,0,,,,14,65,3,171,297
Seychelles,,,,,,15,,,,,,7,,7,16,,8,,7,,59
Sierra Leone,,,,,,,9,,,,,2,0,1,,0,1,,,,13
Singapore,798,255,236,86,379,541,72,358,1116,1429,958,900,748,748,65,147,631,429,592,614,11101
Slovakia,0,,27,,,4,,0,0,9,9,,2,5,,,,47,34,36,173
Slovenia,2,41,2,17,17,3,3,2,,7,40,28,,,1,,,,,,163
Solomon Islands,,,,,,,,,,,,,,,,,,,,7,7
Somalia,,,,,,,,,,,,,,3,,1,2,2,,8,16
South Africa,6,18,,,,267,785,954,493,134,180,212,132,2,50,2,,,,,3234
South Korea,1397,775,531,755,1061,808,1654,1729,1685,797,1284,1576,1078,185,723,272,1059,1056,1106,1510,21040
South Sudan,,,,,,,,37,44,1,2,61,2,9,35,19,8,,,,216
Spain,328,153,277,254,315,363,315,339,349,231,288,168,224,155,109,135,86,87,138,56,4370
Sri Lanka,297,161,45,35,49,58,97,92,79,21,4,21,,20,5,,,45,99,59,1188
Sudan,,106,49,204,293,132,69,33,128,89,182,173,95,130,61,124,109,68,34,,2080
Suriname,2,,,,,,,,,,,,0,7,,3,,,,,11
Sweden,204,165,76,64,47,78,129,51,53,17,11,191,207,56,45,14,70,46,7,9,1539
Switzerland,23,68,63,117,203,168,83,108,18,39,48,32,11,6,5,12,73,34,10,13,1134
Syria,64,28,45,69,25,35,100,20,294,210,426,496,516,506,21,22,8,25,181,,3090
Syria rebels*,,,,,,,,,,,,,1,1,0,,,2,,,4
Taiwan,573,332,298,117,319,692,504,12,11,60,97,198,424,549,1078,630,97,493,109,51,6643
Tajikistan,,,,,,,13,7,,34,,,,3,,,8,19,3,3,89
Tanzania,2,,,51,,10,12,1,,25,,78,115,118,14,20,20,2,32,,499
Thailand,85,117,152,131,114,70,47,8,16,64,46,268,278,358,96,173,336,302,630,301,3590
Timor-Leste,,,,,,,,,,,18,14,,,,,,,,,32
Togo,,,,,,,,,,,1,,,,15,,,,,2,17
Tonga,,,,,,,,,,,,,,,,5,,,,7,12
Trinidad and Tobago,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,143
Tunisia,,,83,1,,168,2,,3,,7,7,,38,44,7,29,89,180,15,673
Turkey,1185,510,905,330,257,1095,531,692,640,732,484,779,1500,796,1526,441,331,425,591,833,14584
Turkmenistan,,,,18,21,,,,7,36,27,236,113,71,74,172,428,92,,,1293
Tuvalu,,,,,,,,,,,,,,,,,,,,7,7
UAE,247,186,222,685,1211,2171,2023,919,753,597,643,1236,1155,2311,767,1222,955,965,1197,644,20106
Uganda,6,,34,,36,10,5,0,14,25,37,471,219,20,1,5,1,21,9,1,913
UIC (Somalia)*,,,,,,,0,,,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,1,23,5,,65,14,107
Ukraine Rebels*,,,,,,,,,,,,,,,24,,,,,,24
United Kingdom,871,1277,720,775,217,27,308,776,490,376,490,361,578,494,211,397,259,952,518,377,10473
United Nations**,31,,,,2,1,2,1,0,,,,,5,25,3,9,,,,79
United States,334,493,504,602,570,529,639,829,960,974,1083,1004,1203,789,548,516,458,524,380,1048,13987
United Wa State (Myanmar)*,,1,,,,,,,,,,,,,2,,,,,,3
Unknown rebel group*,,0,0,,,,,,,,,,,,,,,,,,0
Unknown recipient(s),,2,,0,0,,,,12,,8,6,,29,30,13,36,17,26,41,221
Uruguay,4,,13,,,20,8,3,78,29,20,,,3,9,8,,,10,1,206
Uzbekistan,,8,9,,,,,,,,30,,,,17,100,56,,131,53,404
Venezuela,108,103,50,15,9,21,380,774,737,358,208,596,687,993,181,167,137,,,,5523
Viet Nam,7,99,58,22,298,221,42,8,187,61,152,1021,788,362,1218,862,858,755,577,161,7755
Western Sahara,,,,,,,,,,,,,,,,,0,,,,0
Yemen,158,85,593,62,252,315,38,66,40,5,258,45,38,23,6,33,7,6,9,,2039
Zambia,33,,2,,,0,28,4,2,,,1,66,,,14,43,44,,38,273
Zimbabwe,3,10,,16,13,25,25,,,,,,,,,,,,,,91
,,,,,,,,,,,,,,,,,,,,,
Total,19337,18744,17877,19034,21350,21582,24811,26641,24142,24264,25771,30106,28169,27132,27023,28605,31267,31544,27165,27194,501758
