Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Pakistan,11,15,44,24,74,171,109,395,303,146,1027,269,276,137,201,107,15,21,12,3,3360
Panama,,,,,,,,,,5,,,15,,,,,,11,,31
Paraguay,,,,,,,,,,,,1,1,0,,,,,,,2
Peru,,1,14,22,47,25,22,,,2,5,2,5,8,,11,1,3,,,166
Philippines,,9,5,3,20,12,13,13,10,0,,60,6,55,12,46,82,23,0,11,382
Poland,122,8,138,14,5,11,346,850,481,87,41,16,16,,1,4,,19,73,130,2359
Portugal,2,18,,29,57,33,43,58,88,90,89,89,29,,1,,1,4,6,29,662
Qatar,,,,,,,,,,280,,150,280,,,385,595,520,423,531,3164
Romania,3,1,,,,14,3,22,2,32,61,42,3,3,0,3,5,22,23,4,242
Saudi Arabia,3,33,89,117,324,153,172,150,248,244,358,397,394,607,1426,1774,1769,3121,3202,3138,17720
Senegal,,,,,,,,,,,,2,,,,,,2,2,,6
Serbia,,,,,,,,,,,,,0,,,,,,,,0
Seychelles,,,,,,,,,,,,,,1,,,,,1,,2
Singapore,531,61,211,50,365,533,33,11,28,720,687,457,429,626,23,75,555,136,81,46,5655
Slovakia,,,,,,,,,,,,,,,,,,18,18,36,71
Slovenia,,0,,,,,,,,,,,,,1,,,,,,1
Somalia,,,,,,,,,,,,,,1,,,,,,,1
South Africa,,,,,,,14,30,11,9,13,16,9,,,,,,,,103
South Korea,935,463,268,593,873,619,1359,1206,1121,209,1220,1490,979,107,346,188,546,516,676,829,14543
South Sudan,,,,,,,,,,,,,0,2,,,,,,,2
Spain,166,70,220,186,164,5,81,22,18,48,7,20,96,44,20,20,2,14,14,40,1256
Sri Lanka,10,,9,3,13,,,5,,,,10,,,,,,,54,,104
Suriname,,,,,,,,,,,,,0,,,,,,,,0
Sweden,68,33,26,26,26,58,56,24,9,2,,150,185,16,1,2,9,5,,,697
Switzerland,4,4,3,,18,,,2,1,2,30,16,5,2,1,1,61,31,,,180
Syria rebels*,,,,,,,,,,,,,,,,,,1,,,1
Taiwan,541,332,298,111,314,642,504,12,11,,37,138,424,549,1071,630,97,493,109,51,6363
Thailand,25,13,146,126,37,17,5,,,4,0,50,21,54,32,27,46,29,49,17,699
Trinidad and Tobago,3,0,2,,,,,6,,,,12,12,,,,,,,,35
Tunisia,,,83,1,,,2,,3,,7,7,,38,39,7,13,72,46,15,332
Turkey,520,138,448,232,129,272,5,25,49,21,11,335,1009,363,1112,303,187,148,229,128,5663
UAE,15,19,18,36,381,1260,996,472,677,394,153,853,953,1074,542,812,659,603,916,383,11214
Uganda,,,,,,,,,,2,,,,,,4,,16,,,22
Ukraine,,,,,,,,,,,,,,,,4,5,,12,,20
United Kingdom,814,1253,381,439,171,15,109,302,419,270,310,201,390,331,191,373,217,705,194,185,7269
United Nations**,,,,,,,,,,,,,,,3,0,,,,,3
Unknown recipient(s),,,,,,,,,,,3,,,,0,0,,,,,4
Uruguay,,,,,,,,,,,,,,,,,,,,1,1
Uzbekistan,,,,,,,,,,,,,,,,35,,,0,2,37
Venezuela,,5,11,15,,,,,,,,,,,,6,,,,,37
Viet Nam,,,,,,,,,,,,,,,,,,54,,,54
Yemen,,,,,,,3,,5,,,12,,4,,11,,,,,36
Zambia,,,,,,,,,,,,,,,,,,,,6,6
,,,,,,,,,,,,,,,,,,,,,
Total,7577,5606,4947,5659,6843,6770,7521,7832,6797,6870,8033,8988,9074,7508,9608,9963,9855,12050,10414,10752,162666
